doc_id	category	outlet	date
pre_01_abc_fewer_polls.txt	pre	abcNEWS	10/28/2024
pre_02_guardian_hedgehog_porcupine.txt	pre	Guardian	3/9/2024
pre_03_guardian_sleepwalking.txt	pre	Guardian	3/6/2024
pre_04_abc_pennsylvania.txt	pre	abcNEWS	10/29/2024
pre_05_guardian_six_months.txt	pre	Guardian	5/5/2024
pre_06_gallup_final_indicators.txt	pre	Gallup	10/30/2024
pre_07_american_one_vote.txt	pre	American Progress	9/16/2024
pre_08_independent_independent_voters.txt	pre	Independent Center	N/A
pre_09_brennan_undermine_election.txt	pre	Brennan Center	8/5/2024
pre_10_gallup_economy_importance.txt	pre	Gallup	10/9/2024
post_01_guardian_trump_underestimated.txt	post	Guardian	11/27/2024
post_02_northwestern_2024_election.txt	post	Northwestern	11/20/2024
post_03_abc_polls_underestimate.txt	post	abcNEWS	11/8/2024
post_04_silver_polls_underperform.txt	post	Silver Bulletin	2/17/2025
post_05_politico_trump_turnout.txt	post	Politico	6/26/2025
post_06_AP_Democrats_down.txt	post	AP News	2/18/2026
post_07_guardian_no_autopsy.txt	post	Guardian	12/18/2025
post_08_abc_close_no_landslide.txt	post	abcNEWS	11/26/2024
post_09_brookings_why_win.txt	post	Brookings	11/6/2024
post_10_prri_analysis_vote.txt	post		
