doc_id,category,outlet,tokens,forecast_terms,explanation_terms,forecast_per_1k,explanation_per_1k,explanation_minus_forecast
post_01_guardian_trump_underestimated.txt,post,Guardian,437,51,10,116.70480549199085,22.88329519450801,-93.82151029748285
post_02_northwestern_2024_election.txt,post,Northwestern,656,8,12,12.195121951219512,18.29268292682927,6.097560975609756
post_03_abc_polls_underestimate.txt,post,abcNEWS,726,65,16,89.53168044077135,22.038567493112946,-67.4931129476584
post_04_silver_polls_underperform.txt,post,Silver Bulletin,1203,107,16,88.94430590191189,13.300083125519535,-75.64422277639235
post_05_politico_trump_turnout.txt,post,Politico,311,12,8,38.58520900321543,25.723472668810288,-12.861736334405144
post_06_AP_Democrats_down.txt,post,AP News,445,11,5,24.719101123595507,11.235955056179776,-13.483146067415731
post_07_guardian_no_autopsy.txt,post,Guardian,229,0,3,0,13.100436681222707,13.100436681222707
post_08_abc_close_no_landslide.txt,post,abcNEWS,796,8,14,10.050251256281408,17.587939698492463,7.537688442211055
post_09_brookings_why_win.txt,post,Brookings,696,2,8,2.8735632183908044,11.494252873563218,8.620689655172413
post_10_prri_analysis_vote.txt,post,NA,1227,3,6,2.444987775061125,4.88997555012225,2.444987775061125
pre_01_abc_fewer_polls.txt,pre,abcNEWS,996,92,10,92.36947791164658,10.040160642570282,-82.3293172690763
pre_02_guardian_hedgehog_porcupine.txt,pre,Guardian,851,5,3,5.875440658049354,3.525264394829612,-2.350176263219742
pre_03_guardian_sleepwalking.txt,pre,Guardian,786,17,17,21.62849872773537,21.62849872773537,0
pre_04_abc_pennsylvania.txt,pre,abcNEWS,1150,36,10,31.304347826086957,8.695652173913043,-22.608695652173914
pre_05_guardian_six_months.txt,pre,Guardian,1110,5,2,4.504504504504505,1.8018018018018018,-2.7027027027027026
pre_06_gallup_final_indicators.txt,pre,Gallup,616,6,6,9.74025974025974,9.74025974025974,0
pre_07_american_one_vote.txt,pre,American Progress,2749,14,34,5.0927610040014555,12.368133866860676,7.2753728628592205
pre_08_independent_independent_voters.txt,pre,Independent Center,189,2,0,10.582010582010582,0,-10.582010582010582
pre_09_brennan_undermine_election.txt,pre,Brennan Center,3516,3,25,0.8532423208191127,7.1103526734926055,6.257110352673493
pre_10_gallup_economy_importance.txt,pre,Gallup,565,3,4,5.3097345132743365,7.079646017699115,1.7699115044247788
